Pieridae Abaeis nicippe
Tortricidae Cochylis ringsi
Tortricidae Cochylis temerana
Tortricidae Cochylis viscana
Tortricidae Coelostathma discopunctana
Pyralidae Coenochroa bipunctella
Coleophoridae Coleophora alticolella
Coleophoridae Coleophora apiciabella
Coleophoridae Coleophora astromarginata
Coleophoridae Coleophora atromarginata
Coleophoridae Coleophora bidentella
Coleophoridae Coleophora cornella
Coleophoridae Coleophora cratipennella
Coleophoridae Coleophora deauratella
Coleophoridae Coleophora fagicorticella
Coleophoridae Coleophora laticornella
Coleophoridae Coleophora limosipennella
Coleophoridae Coleophora lineapulvella
Coleophoridae Coleophora mayrella
Coleophoridae Coleophora monardella
Coleophoridae Coleophora multipulvella
Coleophoridae Coleophora polemoniella
Coleophoridae Coleophora quadruplex
Coleophoridae Coleophora querciella
Coleophoridae Coleophora tiliaefoliella
Coleophoridae Coleophora trifolii
Gelechiidae Coleotechnites apicitripunctella
Gelechiidae Coleotechnites atrupictella
Gelechiidae Coleotechnites australis
Gelechiidae Coleotechnites carbonaria
Gelechiidae Coleotechnites coniferella
Gelechiidae Coleotechnites eryngiella
Gelechiidae Coleotechnites florae
Gelechiidae Coleotechnites nigritus
Gelechiidae Coleotechnites quercivorella
Gelechiidae Coleotechnites thujaella
Gelechiidae Coleotechnites variiella
Pieridae Colias eurytheme
Pieridae Colias philodice
Erebidae Colobochyla interpuncta
Noctuidae Colocasia flavicornis
Noctuidae Colocasia propinquilinea
Crambidae Compacta capitalis
Crambidae Conchylodes ovulalis
Noctuidae Condica mobilis
Noctuidae Condica sutor
Noctuidae Condica vecors
Noctuidae Condica videns
Pyralidae Condylolomia participalis
Noctuidae Copivaleria grotei
Heliozelidae Coptodisca juglandiella
Heliozelidae Coptodisca powellella
Tischeriidae Coptotriche citrinipennella
Tischeriidae Coptotriche purinosella
Noctuidae Coranarta luteola
Tortricidae Corticivora clarki
Geometridae Coryphista meadii
Noctuidae Cosmia calami
Cosmopterigidae Cosmopterix clemensella
Cosmopterigidae Cosmopterix gemmiferella
Cosmopterigidae Cosmopterix montisella
Cosmopterigidae Cosmopterix pulchrimella
Erebidae Cosmosoma myrodora
Geometridae Costaconvexa centrostrigaria
Erebidae Crambidia casta
Erebidae Crambidia pallida
Erebidae Crambidia uniformis
Noctuidae Crambodes talidiformis
Crambidae Crambus agitatellus
Crambidae Crambus ainsliellus
Crambidae Crambus albellus
Crambidae Crambus bidens
Crambidae Crambus girardellus
Crambidae Crambus hamella
Crambidae Crambus harrisi
Crambidae Crambus laqueatellus
Crambidae Crambus leachellus
Crambidae Crambus multilinellus
Crambidae Crambus pascuella
Crambidae Crambus praefectellus
Crambidae Crambus saltuellus
Crambidae Crambus whitmerellus
Crambidae Crambus youngellus
Gracillariidae Cremastobombycia ambrosiaeella
Gracillariidae Cremastobombycia ambrosiella
Gracillariidae Cremastobombycia ignota
Gracillariidae Cremastobombycia solidaginis
Crambidae Crocidophora pustuliferalis
Crambidae Crocidophora serratissimalis
Crambidae Crocidophora tuberculalis
Noctuidae Crocigrapha normani
Noctuidae Ctenoplusia oxygramma
Erebidae Ctenucha virginica
Noctuidae Cucullia asteroides
Noctuidae Cucullia convexipennis
Noctuidae Cucullia intermedia
Lycaenidae Cupido comyntas
Geometridae Cyclophora nanaria
Geometridae Cyclophora packardi
Geometridae Cyclophora pendulinaria
Erebidae Cycnia collaris
Erebidae Cycnia oregonensis
Erebidae Cycnia tenera
Tortricidae Cydia albimaculana
Tortricidae Cydia candana
Tortricidae Cydia caryana
Tortricidae Cydia gallaesaliciana
Tortricidae Cydia garacana
Tortricidae Cydia lacustrina
Tortricidae Cydia latiferreana
Tortricidae Cydia pomonella
Tortricidae Cydia toreuta
Nymphalidae Cyllopsis gemma
Nymphalidae Danaus gilippus
Nymphalidae Danaus plexippus
Sphingidae Darapsa choerilus
Sphingidae Darapsa myron
Sphingidae Darapsa versicolor
Noctuidae Dargida diffusa
Noctuidae Dargida rubripennis
Erebidae Dasychira basiflava
Erebidae Dasychira cinnamomea
Erebidae Dasychira dorsipennata
Erebidae Dasychira grisefacta
Erebidae Dasychira manto
Erebidae Dasychira obliquata
Erebidae Dasychira tephra
Erebidae Dasychira vagans
Notodontidae Dasylophia anguina
Notodontidae Dasylophia thyatiroides
Notodontidae Datana angusii
Notodontidae Datana contracta
Notodontidae Datana drexelii
Notodontidae Datana integerrima
Notodontidae Datana major
Notodontidae Datana ministra
Notodontidae Datana perspicua
Notodontidae Datana robusta
